,S&P 500 Index,SCHG,SCHV,Invesco Funds - Invesco Global Investment Grade Corporate Bond Fund,iShares Core Global Aggt Bd ETF USD Dist,PIMCO GIS Asia Strategic Interest Bond Fund,"JANUS HENDERSON US SHORT TERM BOND ""A2"" (USD) ACC",Neuberger Berman High Yield Bond,Bloomberg Global-Aggregate Total Return Index Value Unhedged USD,MSCI World Index,MSCI World Net Total Return USD Index,AQUMON MPF Composite Index,AQUMON MPF Bond Index,AQUMON MPF Mixed Index,AQUMON MPF DIS Index,AQUMON MPF Equity Index,AQUMON MPF Equity Global Index,AQUMON MPF Equity US Index,AQUMON MPF Equity Europe Index,AQUMON MPF Equity Asia Index,AQUMON MPF Equity Greatchina index
2019-08-26,1.8973,103.87878,12.77,12.384,5.33759,,17.45,16.59,514.1783,2105.22,6133.537,1.174207941,1.042790078,1.186691179,1.17033621,1.214353172,1.22611715,1.533790768,1.05970315,1.185908409,1.212181542
2019-08-27,1.9054,103.85527,12.78,12.3885,5.35063,,17.46,16.63,515.463,2104.85,6132.682,1.175996741,1.043739192,1.189255674,1.173004494,1.215732596,1.225877859,1.525333107,1.06231497,1.188558978,1.213448296
2019-08-28,1.9094,104.23151,12.79,12.435,5.35474,,17.46,16.66,515.8996,2111.92,6153.515,1.17641824,1.04369802,1.190282888,1.175598986,1.21573051,1.228868159,1.53134074,1.059237313,1.1875731,1.211471658
2019-08-29,1.9284,105.2897,12.79,12.436,5.34468,,17.46,16.68,514.8742,2133.08,6215.905,1.180368193,1.043435996,1.193950492,1.179260836,1.22281703,1.239535601,1.549914685,1.070619474,1.191770712,1.217457693
2019-08-30,1.9339,105.57189,12.8,12.4183,5.33975,,17.46,16.69,514.4333,2138.52,6232.303,1.182991425,1.042605445,1.195982723,1.180058707,1.22846485,1.242565861,1.552682506,1.07439515,1.198634395,1.221466877
2019-09-02,1.9326,105.57189,12.81,12.4218,5.33975,,17.46,16.69,513.5329,2136.58,6226.825,1.182493387,1.042392708,1.195546903,1.180132161,1.227709365,1.241969922,1.552328661,1.07378294,1.197781666,1.220561621
2019-09-03,1.9205,104.99576,12.81,12.4345,5.34283,,17.48,16.67,514.7697,2126.92,6199.097,1.179248196,1.042788408,1.1933416,1.179137107,1.220787208,1.235699812,1.544253096,1.069825669,1.190450813,1.213725281
2019-09-04,1.9435,106.14801,12.83,12.4281,5.34919,,17.49,16.69,515.3751,2149.8,6266.048,1.192246609,1.043969496,1.203296129,1.183744158,1.245245055,1.250212632,1.554764975,1.082476391,1.220499746,1.250702933
2019-09-05,1.9678,107.39432,12.85,12.4162,5.32127,,17.46,16.73,512.5956,2174.27,6338.981,1.197175966,1.043038197,1.207153963,1.184935868,1.255375086,1.263618149,1.575628278,1.093711232,1.228336274,1.256763796
2019-09-06,1.9739,107.61772,12.86,12.381,5.33256,,17.47,16.75,513.6817,2178.9,6352.666,1.200328143,1.043443216,1.210267123,1.186977268,1.260380292,1.265922853,1.580101467,1.096768486,1.23435188,1.262500925
2019-09-09,1.9666,107.5942,12.87,12.3878,5.31449,,17.45,16.77,511.977,2178.41,6351.553,1.199865106,1.042642295,1.208956839,1.184329204,1.261187879,1.266753827,1.576605846,1.096632263,1.235734678,1.262593083
2019-09-10,1.96,107.65299,12.87,12.3511,5.29293,,17.43,16.77,509.9557,2179.43,6354.765,1.198182789,1.041317884,1.20655474,1.181254804,1.260177766,1.267258721,1.577513875,1.099703027,1.233525663,1.259760116
2019-09-11,1.9725,108.39372,12.87,12.3007,5.28092,,17.43,16.77,508.7889,2194.42,6398.692,1.204327999,1.040747476,1.211833406,1.184706924,1.271831133,1.276101654,1.58669585,1.106321908,1.246798238,1.275219162
2019-09-12,1.9787,108.75821,12.88,12.2919,5.28,,17.42,16.79,508.6406,2201.81,6420.783,1.205527458,1.040451774,1.212509793,1.184790518,1.274660536,1.27798367,1.591583041,1.107689753,1.249848202,1.278326201
2019-09-13,1.9754,108.9816,12.86,12.28,5.26008,,17.4,16.77,506.6721,2205.81,6433.258,1.208616085,1.039708993,1.213535155,1.181437062,1.282797968,1.28176646,1.590638384,1.116592198,1.259902341,1.289891693
2019-09-16,1.9647,108.48778,12.85,12.2493,5.2609,,17.41,16.8,506.8869,2195.88,6404.402,1.204771337,1.03937343,1.21059428,1.181494357,1.275549868,1.276439984,1.585518871,1.107143878,1.252324093,1.280178273
2019-09-17,1.9726,108.76996,12.85,12.264,5.26768,,17.42,16.81,507.5328,2201.77,6421.653,1.202125136,1.039373719,1.209735896,1.182387662,1.268994202,1.277610503,1.592051771,1.106023427,1.241590131,1.267331281
2019-09-18,1.9709,108.73469,12.86,12.2782,5.2799,,17.42,16.81,508.7137,2201.02,6419.607,1.203815419,1.040274029,1.211908128,1.184972987,1.27059823,1.27816557,1.591569284,1.10735493,1.243716818,1.269049336
2019-09-19,1.9761,108.91106,12.87,12.2863,5.28749,,17.43,16.83,509.3803,2204.67,6430.502,1.202358563,1.040253014,1.211858383,1.18604011,1.266493352,1.281120793,1.592777737,1.113103238,1.235749316,1.258301674
2019-09-20,1.9664,108.54657,12.88,12.3034,5.28575,,17.44,16.83,509.2255,2197.55,6409.851,1.203393577,1.041092116,1.212741451,1.186379525,1.267815863,1.280389132,1.586380969,1.113550609,1.238549083,1.258167431
